HT_Code,AT_Code,FT_Result_code,HT_Form,AT_Form,FT_HT_Goals,FT_AT_Goals,HT_HT_Goals,HT_AT_Goals,HT_Shots,AT_Shots,HT_Shots_target,AT_Shots_target,HT_Fouls_Comm,AT_Fouls_Comm,HT_Corners,AT_Corners,HT_Yellows,AT_Yellows,HT_Reds,AT_Reds,HT_W_Odds,Draw_Odds,AT_W_Odds,5GAV_FT_HT_Goals,5GAV_FT_AT_Goals,5GAV_HT_Shots,5GAV_AT_Shots,5GAV_HT_Shots_target,5GAV_AT_Shots_target,5GAV_HT_Fouls_Comm,5GAV_AT_Fouls_Comm,5GAV_HT_Corners,5GAV_AT_Corners,5GAV_HT_Yellows,5GAV_AT_Yellows,5GAV_HT_Reds,5GAV_AT_Reds,HT_Result_code,AVG_Influence_HT,AVG_ICT_Index_HT,Injured_Players_HT,AVG_Influence_AT,AVG_ICT_Index_AT,Injured_Players_AT,HT_Players_Performances,AT_Players_Performances
1,28,1,15,1,3,2,2,1,16,13,6,6,7,10,5,6,0,1,1,0,1.29,6.5,11.0,1.6,0.8,11.8,11.4,3.4,4.2,9.2,11.0,3.2,5.4,1.2,0.8,0.0,0.0,1,11.17948717948718,3.623076923076923,4.0,9.4,2.004761904761905,2.0,3.4012820512820516,3.7023809523809526
25,6,1,8,4,3,1,0,0,34,6,14,1,11,10,8,4,1,2,0,0,1.4,4.8,9.5,0.6,0.4,11.6,7.8,3.4,2.0,9.8,8.8,5.4,4.0,1.4,2.0,0.0,0.0,0,10.282352941176471,2.976470588235294,3.0,13.593939393939394,2.412121212121212,1.0,3.629411764705883,7.003030303030304
20,30,0,2,7,0,1,0,0,10,4,3,2,15,10,4,6,4,1,0,0,2.25,3.3,3.6,0.4,1.4,9.0,17.2,2.2,5.0,15.0,9.8,4.6,5.4,2.2,1.8,0.0,0.0,0,18.133333333333336,2.4,1.0,3.647619047619048,1.542857142857143,3.0,9.266666666666667,-0.40476190476190466
16,19,0,13,7,0,0,0,0,9,7,3,1,14,20,3,1,0,4,0,0,2.2,3.5,3.5,3.4,1.4,16.2,10.0,6.8,3.4,7.2,11.2,7.2,4.0,0.8,1.6,0.0,0.0,0,14.028571428571428,3.9904761904761914,3.0,11.56,2.6044444444444443,2.0,6.0095238095238095,5.082222222222223
16,31,1,13,6,2,1,2,0,21,6,7,1,9,13,3,2,1,3,0,0,1.29,6.0,13.0,2.8,1.0,14.8,10.0,5.4,3.2,8.2,11.8,5.6,3.2,1.2,1.0,0.0,0.0,1,10.99047619047619,3.138095238095238,3.0,10.75,2.6,2.0,4.064285714285714,4.675
6,10,1,4,8,2,1,1,0,9,20,3,8,16,15,2,8,2,3,0,0,6.0,3.8,1.67,1.6,0.2,9.4,8.8,4.0,1.6,8.2,12.4,4.2,4.2,1.2,2.4,0.0,0.2,1,12.033333333333331,1.9444444444444449,1.0,9.321212121212122,2.4393939393939394,3.0,5.988888888888888,2.880303030303031
1,20,0,15,1,0,0,0,0,9,11,5,4,6,13,8,3,1,0,0,0,1.25,6.5,15.0,3.0,0.6,19.6,9.0,6.2,2.2,10.0,11.2,10.0,3.2,2.4,1.6,0.2,0.2,0,8.414285714285715,3.123809523809524,4.0,13.15,2.15,1.0,1.769047619047619,6.65
13,26,0,1,5,0,2,0,1,9,12,2,6,16,8,5,7,2,3,0,0,3.1,3.3,2.5,1.0,0.8,11.2,9.4,4.4,2.4,10.4,13.6,4.8,5.2,1.2,2.4,0.2,0.0,0,7.922222222222222,1.6722222222222225,6.0,17.36,3.3666666666666663,3.0,-1.2027777777777775,7.363333333333333
28,30,0,1,10,0,0,0,0,11,10,5,2,15,16,7,2,2,1,0,0,2.38,3.3,3.3,1.2,1.8,9.6,12.0,3.0,4.6,6.4,11.2,5.8,5.4,0.8,1.4,0.0,0.0,0,9.41904761904762,1.947619047619048,2.0,3.266666666666666,1.6285714285714286,3.0,3.6833333333333336,-0.5523809523809526
32,27,1,4,1,1,0,0,0,20,10,3,2,10,13,6,2,2,5,0,0,1.67,4.0,5.75,1.0,1.0,10.6,10.2,3.6,3.4,8.8,12.6,5.2,3.2,1.6,1.8,0.0,0.4,0,9.570833333333333,2.08125,6.0,19.933333333333334,3.311111111111112,7.0,-0.17395833333333321,4.622222222222224
