player_name,season_injured,injury,injured_since,injured_until,duration,games_missed,club
Gylfi Sigurdsson,2019-2020,Knock,2019-12-08,2019-12-20,12 days,2.0,Everton
Gylfi Sigurdsson,2017-2018,Knee Injury,2018-03-11,2018-06-01,82 days,8.0,Everton
Jefferson Montero,2018-2019,Hamstring Injury,2018-09-14,2018-10-15,31 days,6.0,Swansea
Jefferson Montero,2016-2017,Torn Muscle Fibre,2017-05-01,2017-09-20,142 days,5.0,Swansea
Jefferson Montero,2016-2017,Fractured Hand,2016-11-07,2016-11-25,18 days,1.0,Swansea
Jefferson Montero,2016-2017,Hamstring Injury,2016-09-30,2016-11-04,35 days,4.0,Swansea
Wayne Routledge,2020-2021,Torn Knee Ligament,2021-05-22,2021-10-31,162 days,18.0,Swansea
Wayne Routledge,2020-2021,Torn Knee Ligament,2021-05-22,2021-10-31,162 days,18.0,Swansea
Nathan Dyer,2016-2017,Achilles tendon rupture,2017-02-13,2017-09-22,221 days,20.0,Swansea
Nathan Dyer,2016-2017,Ankle Injury,2016-09-10,2016-11-19,70 days,10.0,Swansea
Daniel James,2020-2021,Unknown Injury,2021-04-30,2021-05-21,21 days,5.0,Man Utd
Daniel James,2020-2021,Knock,2021-04-09,2021-04-14,5 days,1.0,Man Utd
Daniel James,2020-2021,Knock,2020-12-27,2020-12-28,1 days,,Man Utd
Daniel James,2019-2020,Knock,2020-02-28,2020-03-07,8 days,2.0,Man Utd
Daniel James,2019-2020,Ankle Injury,2019-09-10,2019-09-21,11 days,2.0,Swansea
Daniel James,2018-2019,Muscle Injury,2018-12-02,2018-12-21,19 days,2.0,Man Utd
Borja Bastón,2016-2017,Muscle Injury,2016-08-17,2016-09-18,32 days,5.0,Swansea
Jordan Ayew,2020-2021,Virus Infection,2020-10-19,2020-10-29,10 days,1.0,Crystal Palace
Jordan Ayew,2018-2019,Knock,2018-08-09,2018-08-19,10 days,1.0,Crystal Palace
Fernando Llorente,2018-2019,Concussion,2019-04-01,2019-04-09,8 days,2.0,Spurs
Marvin Emnes,2016-2017,Unknown Injury,2017-01-30,2017-02-02,3 days,2.0,Swansea
Oliver McBurnie,2021-2022,Foot Injury,2022-04-15,2022-06-30,76 days,7.0,Sheffield Utd
Oliver McBurnie,2021-2022,Dead Leg,2022-03-12,2022-03-18,6 days,2.0,Sheffield Utd
Oliver McBurnie,2020-2021,Metatarsal Fracture,2021-04-12,2021-08-07,117 days,8.0,Sheffield Utd
Oliver McBurnie,2020-2021,Bruise,2020-12-28,2021-01-29,32 days,7.0,Sheffield Utd
Oliver McBurnie,2020-2021,Shoulder Injury,2020-12-14,2020-12-25,11 days,2.0,Sheffield Utd
Oliver McBurnie,2016-2017,Bruise,2017-01-26,2017-02-06,11 days,2.0,Swansea
David Marshall,2020-2021,Quarantine,2021-06-01,2021-06-04,3 days,,Hull
David Marshall,2017-2018,Ankle problems,2017-07-14,2017-08-25,42 days,6.0,Hull
Allan McGregor,2016-2017,Fitness,2017-01-06,2017-01-17,11 days,3.0,Hull
Allan McGregor,2016-2017,Back Injury,2016-05-13,2017-01-05,237 days,27.0,Hull
Harry Maguire,2022-2023,Hamstring Injury,2022-09-26,2022-10-25,29 days,7.0,Man Utd
Harry Maguire,2021-2022,Knee Problems,2022-04-26,2022-05-03,7 days,2.0,Man Utd
Harry Maguire,2021-2022,Chest injury,2022-01-01,2022-01-14,13 days,2.0,Man Utd
Harry Maguire,2021-2022,Calf Injury,2021-09-25,2021-10-15,20 days,3.0,Man Utd
Harry Maguire,2020-2021,Ankle Injury,2021-05-09,2021-06-13,35 days,6.0,Man Utd
Harry Maguire,2018-2019,Foot Injury,2019-01-20,2019-01-29,9 days,,Leicester
Harry Maguire,2018-2019,Knee Injury,2018-11-03,2018-12-08,35 days,7.0,Man Utd
Markus Henriksen,2016-2017,Shoulder Injury,2017-01-10,2017-04-01,81 days,13.0,Hull
Curtis Davies,2016-2017,Hamstring Injury,2017-01-29,2017-03-10,40 days,6.0,Hull
Curtis Davies,2016-2017,Hamstring Injury,2017-01-02,2017-01-20,18 days,4.0,Hull
Michael Dawson,2016-2017,Calf Strain,2017-02-04,2017-04-01,56 days,7.0,Hull
Michael Dawson,2016-2017,Knee Injury,2016-07-20,2016-10-20,92 days,10.0,Hull
Alex Bruce,2016-2017,Achilles tendon surgery,2016-07-11,2017-02-01,205 days,1.0,Hull
Andrew Robertson,2022-2023,Knee Injury,2022-09-08,2022-10-10,32 days,4.0,Liverpool
Andrew Robertson,2020-2021,Hip Injury,2020-11-14,2020-11-18,4 days,,Liverpool
Andrew Robertson,2019-2020,Ankle Injury,2019-11-11,2019-11-22,11 days,,Hull
Andrew Robertson,2018-2019,Thigh muscle rupture,2019-06-12,2019-06-24,12 days,,Liverpool
Andrew Robertson,2018-2019,Fibula shaft fractures,2019-05-08,2019-05-11,3 days,,Liverpool
Andrew Robertson,2018-2019,Arm Injury,2019-02-25,2019-02-26,1 days,,Hull
Andrew Robertson,2018-2019,Knock,2018-12-03,2018-12-07,4 days,1.0,Liverpool
Andrew Robertson,2017-2018,Knock,2018-03-28,2018-03-30,2 days,,Liverpool
Andrew Robertson,2016-2017,Calf Strain,2016-10-15,2016-11-26,42 days,7.0,Hull
Josh Tymon,2022-2023,Ankle Injury,2023-02-04,2023-03-01,25 days,7.0,Stoke
Josh Tymon,2020-2021,Foot Injury,2020-10-28,2020-11-01,4 days,1.0,Stoke
Moses Odubajo,2016-2017,Knee Injury,2016-07-15,2018-09-21,798 days,18.0,Hull
Moses Odubajo,2022-2023,Concussion,2022-08-26,2022-09-09,14 days,2.0,Brentford
Ahmed Elmohamady,2020-2021,Hamstring Injury,2020-07-22,2020-09-14,54 days,1.0,Aston Villa
Ahmed Elmohamady,2017-2018,Facial Injury,2017-08-12,2017-08-18,6 days,2.0,Aston Villa
Jake Livermore,2020-2021,Virus Infection,2020-11-21,2020-12-11,20 days,3.0,West Brom
Sam Clucas,2020-2021,Calf Injury,2020-10-18,2020-11-18,31 days,6.0,Stoke
Shaun Maloney,2016-2017,Back Injury,2016-11-04,2016-12-09,35 days,5.0,Hull
Kamil Grosicki,2021-2022,Unknown Injury,2021-10-24,2021-11-10,17 days,2.0,West Brom
Kamil Grosicki,2020-2021,Back Injury,2020-09-18,2020-12-01,74 days,10.0,Hull
Abel Hernández,2017-2018,Fitness,2018-02-12,2018-02-28,16 days,4.0,Hull
Abel Hernández,2017-2018,Achilles tendon surgery,2017-08-15,2018-02-11,180 days,32.0,Hull
Abel Hernández,2016-2017,Foot Injury,2017-05-10,2017-05-31,21 days,2.0,Hull
Abel Hernández,2016-2017,Hamstring Injury,2017-02-04,2017-02-25,21 days,3.0,Hull
Abel Hernández,2016-2017,Tear in the abductor muscle,2016-11-07,2017-01-02,56 days,10.0,Hull
Dieumerci Mbokani,2016-2017,Hamstring Injury,2017-02-27,2017-06-29,122 days,12.0,Hull
Dieumerci Mbokani,2016-2017,Hamstring Injury,2016-10-10,2016-11-03,24 days,4.0,Hull
Will Keane,2016-2017,Cruciate Ligament Injury,2016-11-06,2018-01-19,439 days,62.0,Hull
Greg Luer,2016-2017,Knee Injury,2016-08-23,2017-08-24,366 days,49.0,Hull
Jordan Pickford,2022-2023,Thigh Problems,2022-09-09,2022-09-27,18 days,1.0,Everton
Jordan Pickford,2021-2022,Shoulder Injury,2021-09-13,2021-09-27,14 days,4.0,Everton
Jordan Pickford,2020-2021,Chest injury,2021-01-28,2021-02-18,21 days,6.0,Everton
Jordan Pickford,2016-2017,Knee Injury,2016-12-26,2017-02-27,63 days,11.0,Sunderland
Vito Mannone,2016-2017,Elbow Injury,2016-08-23,2016-11-18,87 days,12.0,Sunderland
Jason Denayer,2016-2017,Hamstring Injury,2016-12-26,2017-01-06,11 days,3.0,Sunderland
Jason Denayer,2016-2017,Adductors avulsion,2016-10-08,2016-11-04,27 days,4.0,Sunderland
Paddy McNair,2016-2017,Cruciate Ligament Injury,2016-11-19,2017-11-09,355 days,48.0,Sunderland
Jan Kirchhoff,2016-2017,Rupture of Outer Meniscus,2016-12-15,2017-06-01,168 days,24.0,Sunderland
Jan Kirchhoff,2016-2017,Hamstring Injury,2016-10-03,2016-11-17,45 days,5.0,Sunderland
Jan Kirchhoff,2016-2017,Hamstring Injury,2016-08-01,2016-09-05,35 days,4.0,Sunderland
Joleon Lescott,2016-2017,Arthroscopie,2016-10-06,2016-12-07,62 days,3.0,Man City
John O'Shea,2016-2017,Hip problems,2016-08-21,2016-09-09,19 days,3.0,Sunderland
Javier Manquillo,2021-2022,Chickenpox,2022-05-12,2022-05-23,11 days,2.0,Newcastle
Javier Manquillo,2020-2021,Ankle Injury,2021-02-07,2021-03-10,31 days,4.0,Newcastle
Javier Manquillo,2020-2021,Virus Infection,2021-01-24,2021-01-25,1 days,,Newcastle
Javier Manquillo,2020-2021,Virus Infection,2020-11-29,2020-12-25,26 days,4.0,Newcastle
Javier Manquillo,2020-2021,Knock,2020-07-02,2020-07-04,2 days,,Newcastle
Javier Manquillo,2018-2019,Ankle Injury,2018-08-20,2018-09-14,25 days,3.0,Newcastle
Billy Jones,2016-2017,Hamstring Injury,2016-07-30,2016-09-20,52 days,6.0,Sunderland
Jack Rodwell,2016-2017,Calf Strain,2017-04-28,2017-05-05,7 days,1.0,Sunderland
Jack Rodwell,2016-2017,Hamstring Injury,2016-11-03,2016-12-31,58 days,9.0,Sunderland
Lee Cattermole,2016-2017,Hip Injury,2016-11-14,2017-04-01,138 days,20.0,Sunderland
Lee Cattermole,2016-2017,Back Injury,2016-09-27,2016-11-19,53 days,7.0,Sunderland
Lee Cattermole,2016-2017,Inguinal Hernia,2016-07-08,2016-09-16,70 days,5.0,Sunderland
Sebastian Larsson,2017-2018,Minor Knock,2018-06-18,2018-06-21,3 days,,Sunderland
Sebastian Larsson,2016-2017,Medial Collateral Ligament Injury,2016-08-11,2016-11-24,105 days,15.0,Sunderland
Steven Pienaar,2016-2017,Calf Strain,2017-02-11,2017-04-08,56 days,6.0,Sunderland
Steven Pienaar,2016-2017,Hamstring Injury,2016-09-24,2016-10-15,21 days,3.0,Sunderland
Elliot Embleton,2022-2023,Torn Ankle Ligament,2022-12-18,,106 days,20.0,Sunderland
Elliot Embleton,2020-2021,Unknown Injury,2020-08-23,2020-10-25,63 days,10.0,Sunderland
Fabio Borini,2016-2017,Groin Injury,2016-08-27,2016-12-09,104 days,14.0,Sunderland
Fabio Borini,2016-2017,Toe Injury,2016-08-18,2016-08-26,8 days,2.0,Sunderland
Duncan Watmore,2018-2019,Ankle Injury,2019-03-02,2019-05-15,74 days,16.0,Sunderland
Duncan Watmore,2017-2018,Knee Injury,2017-11-18,2018-11-25,372 days,54.0,Sunderland
Duncan Watmore,2016-2017,Knee Injury,2016-12-03,2017-09-15,286 days,36.0,Sunderland
Lynden Gooch,2016-2017,Ankle Injury,2016-11-28,2017-01-29,62 days,11.0,Sunderland
Jermain Defoe,2017-2018,Ankle Injury,2017-12-20,2018-02-24,66 days,13.0,Bournemouth
Victor Anichebe,2016-2017,Knee Injury,2017-01-21,2017-04-04,73 days,9.0,Sunderland
Artur Boruc,2016-2017,Back trouble,2016-11-19,2016-12-02,13 days,2.0,Bournemouth
Adam Federici,2017-2018,Meniscal Injury,2017-09-03,2017-12-16,104 days,32.0,Nott'm Forest
Adam Federici,2016-2017,Knee Injury,2017-01-24,2017-06-30,157 days,16.0,Bournemouth
Adam Federici,2017-2018,Meniscal Injury,2017-09-03,2017-12-16,104 days,32.0,Bournemouth
Aaron Ramsdale,2019-2020,Virus Infection,2020-05-26,2020-05-31,5 days,,Bournemouth
Aaron Ramsdale,2019-2020,Knock,2020-01-11,2020-01-17,6 days,1.0,Bournemouth
Steve Cook,2021-2022,Ankle Injury,2022-03-13,2022-04-22,40 days,7.0,Nott'm Forest
Steve Cook,2019-2020,Strain,2020-07-02,2020-07-09,7 days,2.0,Bournemouth
Steve Cook,2019-2020,Hamstring Injury,2020-03-08,2020-06-02,86 days,,Bournemouth
Steve Cook,2019-2020,Hand Injury,2019-12-03,2020-01-11,39 days,8.0,Bournemouth
Steve Cook,2018-2019,Groin Injury,2019-02-10,2019-04-12,61 days,7.0,Nott'm Forest
Tyrone Mings,2019-2020,Strain,2019-12-09,2019-12-31,22 days,5.0,Aston Villa
Tyrone Mings,2019-2020,Calf Injury,2019-09-29,2019-10-04,5 days,,Bournemouth
Tyrone Mings,2017-2018,Back Injury,2017-09-18,2018-04-27,221 days,35.0,Bournemouth
Marc Wilson,2016-2017,Hamstring Injury,2017-01-08,2017-02-03,26 days,2.0,Bournemouth
Marc Wilson,2016-2017,Hamstring Injury,2017-01-08,2017-02-03,26 days,2.0,Stoke
Charlie Daniels,2019-2020,Knee Surgery,2019-08-26,2020-10-23,424 days,,Bournemouth
Charlie Daniels,2018-2019,Knee Surgery,2019-04-07,2019-08-09,124 days,5.0,Bournemouth
Charlie Daniels,2018-2019,Ankle Injury,2019-03-31,2019-04-05,5 days,,Bournemouth
Charlie Daniels,2018-2019,Knee Injury,2018-08-26,2018-10-26,61 days,8.0,Bournemouth
Charlie Daniels,2016-2017,Hamstring Injury,2017-01-27,2017-02-13,17 days,3.0,Bournemouth
Brad Smith,2017-2018,Hip Injury,2017-10-10,2018-02-23,136 days,24.0,Bournemouth
Brad Smith,2016-2017,Foot Injury,2016-10-10,2016-11-14,35 days,4.0,Bournemouth
Adam Smith,2020-2021,Bruised Knee,2020-10-22,2020-10-26,4 days,1.0,Bournemouth
Adam Smith,2020-2021,Rest ,2020-09-14,2020-09-16,2 days,1.0,Bournemouth
Adam Smith,2020-2021,Head Injury,2020-07-10,2020-07-25,15 days,3.0,Bournemouth
Adam Smith,2019-2020,Ankle Injury,2019-12-03,2020-01-18,46 days,10.0,Bournemouth
Adam Smith,2019-2020,Ill,2019-11-24,2019-12-02,8 days,1.0,Bournemouth
Adam Smith,2019-2020,Strain,2019-09-01,2019-10-18,47 days,5.0,Bournemouth
Adam Smith,2018-2019,Knock,2019-04-14,2019-05-03,19 days,2.0,Bournemouth
Adam Smith,2018-2019,Hamstring Injury,2019-03-10,2019-04-05,26 days,2.0,Bournemouth
Adam Smith,2018-2019,Cartilage Damage,2018-11-10,2019-01-11,62 days,12.0,Bournemouth
Adam Smith,2017-2018,Knee Injury,2018-03-17,2018-05-05,49 days,7.0,Bournemouth
Simon Francis,2019-2020,Knee Injury,2020-03-01,2020-06-30,121 days,3.0,Bournemouth
Simon Francis,2019-2020,Head Injury,2019-12-22,2019-12-31,9 days,2.0,Bournemouth
Simon Francis,2018-2019,Cruciate Ligament Rupture,2018-12-26,2019-09-21,269 days,28.0,Bournemouth
Simon Francis,2017-2018,Hamstring Injury,2017-08-12,2017-09-09,28 days,5.0,Bournemouth
Simon Francis,2016-2017,Hamstring Injury,2017-02-13,2017-03-11,26 days,4.0,Bournemouth
Lewis Cook,2022-2023,Knee Injury,2023-01-14,2023-01-14,0 days,1.0,Bournemouth
Lewis Cook,2020-2021,Cruciate Ligament Rupture,2021-03-07,2021-10-29,236 days,30.0,Bournemouth
Lewis Cook,2018-2019,Cruciate Ligament Rupture,2018-12-06,2019-09-14,282 days,30.0,Bournemouth
Lewis Cook,2016-2017,Ankle Injury,2016-10-06,2017-01-06,92 days,13.0,Bournemouth
Dan Gosling,2019-2020,Hip Injury,2019-04-28,2019-11-08,194 days,15.0,Bournemouth
Dan Gosling,2018-2019,Knee Injury,2019-03-03,2019-03-29,26 days,2.0,Bournemouth
Dan Gosling,2018-2019,Knee Injury,2019-01-03,2019-01-12,9 days,1.0,Bournemouth
Dan Gosling,2018-2019,Knee Injury,2018-11-25,2018-12-31,36 days,9.0,Bournemouth
Dan Gosling,2018-2019,Calf Injury,2018-09-29,2018-09-30,1 days,,Newcastle
Harry Arter,2020-2021,Ankle Injury,2020-10-24,2020-11-03,10 days,2.0,Nott'm Forest
Harry Arter,2019-2020,Shinbone injury,2019-10-19,2020-01-03,76 days,15.0,Fulham
Harry Arter,2018-2019,Knock,2019-01-02,2019-01-11,9 days,1.0,Bournemouth
Harry Arter,2018-2019,Knock,2018-10-21,2018-11-02,12 days,1.0,Bournemouth
Harry Arter,2018-2019,Knock,2018-09-16,2018-09-21,5 days,,Bournemouth
Harry Arter,2016-2017,Knee Injury,2016-10-15,2016-10-21,6 days,1.0,Nott'm Forest
Andrew Surman,2019-2020,Knock,2020-07-02,2020-07-03,1 days,,Bournemouth
Andrew Surman,2019-2020,Calf Injury,2019-12-15,2019-12-20,5 days,,Bournemouth
Andrew Surman,2019-2020,Knee Injury,2019-10-27,2019-12-06,40 days,5.0,Bournemouth
Andrew Surman,2018-2019,Calf Injury,2019-03-10,2019-05-31,82 days,8.0,Bournemouth
Andrew Surman,2016-2017,Knee Injury,2017-04-01,2017-05-20,49 days,8.0,Norwich
Andrew Surman,2016-2017,Hamstring Injury,2016-10-29,2016-12-25,57 days,8.0,Norwich
Emerson Hyndman,2016-2017,Foot Injury,2017-05-02,2017-05-31,29 days,5.0,Bournemouth
Eunan O'Kane,2018-2019,Fractured Leg,2018-09-16,2021-01-16,853 days,123.0,Luton
Max Gradel,2016-2017,Hamstring Injury,2016-10-31,2016-11-07,7 days,1.0,Bournemouth
Max Gradel,2016-2017,Hamstring Injury,2016-10-03,2016-10-17,14 days,1.0,Bournemouth
Ryan Fraser,2022-2023,Groin Injury,2022-07-20,2022-08-25,36 days,4.0,Newcastle
Ryan Fraser,2020-2021,Knock,2021-01-31,2021-02-01,1 days,,Newcastle
Ryan Fraser,2020-2021,Groin Injury,2020-12-23,2021-01-11,19 days,4.0,Newcastle
Ryan Fraser,2020-2021,Hamstring Injury,2020-11-02,2020-12-15,43 days,4.0,Bournemouth
Ryan Fraser,2019-2020,Knock,2019-11-10,2019-11-22,12 days,,Newcastle
Ryan Fraser,2019-2020,Ill,2019-09-27,2019-10-05,8 days,1.0,Newcastle
Ryan Fraser,2018-2019,Knock,2019-03-10,2019-03-15,5 days,,Newcastle
Ryan Fraser,2018-2019,Hamstring Injury,2019-01-06,2019-01-12,6 days,,Bournemouth
Junior Stanislas,2020-2021,Knock,2020-09-13,2020-10-13,30 days,5.0,Bournemouth
Junior Stanislas,2019-2020,Calf Injury,2020-01-05,2020-01-31,26 days,4.0,Bournemouth
Junior Stanislas,2018-2019,Knee Surgery,2019-04-25,2019-12-13,232 days,21.0,Bournemouth
Junior Stanislas,2018-2019,Strain,2019-02-03,2019-03-29,54 days,6.0,Bournemouth
Junior Stanislas,2018-2019,Knock,2018-11-04,2018-11-24,20 days,1.0,Bournemouth
Junior Stanislas,2017-2018,Knee Injury,2018-03-31,2018-08-01,123 days,7.0,Bournemouth
Junior Stanislas,2017-2018,Groin Injury,2017-10-28,2017-11-25,28 days,4.0,Bournemouth
Junior Stanislas,2017-2018,groin strain,2017-08-11,2017-09-09,29 days,5.0,Bournemouth
Junior Stanislas,2016-2017,Groin Injury,2017-03-03,2017-03-13,10 days,2.0,Bournemouth
Junior Stanislas,2016-2017,Ankle Injury,2016-12-04,2016-12-25,21 days,4.0,Bournemouth
Junior Stanislas,2016-2017,Inguinal Hernia,2016-06-01,2016-08-27,87 days,4.0,Bournemouth
Marc Pugh,2017-2018,Hamstring Injury,2018-05-14,2018-09-21,130 days,6.0,Bournemouth
Marc Pugh,2016-2017,Hamstring Injury,2016-09-07,2016-11-04,58 days,8.0,Bournemouth
Jordon Ibe,2020-2021,Depression,2021-01-01,2022-01-01,365 days,26.0,Liverpool
Benik Afobe,2017-2018,Strain,2017-10-28,2017-11-18,21 days,3.0,Bournemouth
Callum Wilson,2022-2023,Corona virus,2022-11-01,2022-11-11,10 days,2.0,Newcastle
Callum Wilson,2022-2023,Hamstring Injury,2022-08-21,2022-09-25,35 days,6.0,Newcastle
Callum Wilson,2021-2022,Calf Injury,2021-12-27,2022-05-01,125 days,18.0,Newcastle
Callum Wilson,2021-2022,Hamstring Injury,2021-08-30,2021-10-17,48 days,5.0,Newcastle
Callum Wilson,2020-2021,Hamstring Injury,2021-05-08,2021-05-25,17 days,3.0,Newcastle
Callum Wilson,2020-2021,Hamstring Injury,2021-02-07,2021-04-04,56 days,7.0,Newcastle
Callum Wilson,2020-2021,Hamstring Injury,2021-01-04,2021-01-11,7 days,1.0,Newcastle
Callum Wilson,2020-2021,Thigh Muscle Strain,2020-11-07,2020-11-26,19 days,1.0,Newcastle
Callum Wilson,2019-2020,Hamstring Injury,2019-12-08,2019-12-20,12 days,1.0,Bournemouth
Callum Wilson,2018-2019,Knee Injury,2019-01-19,2019-03-09,49 days,8.0,Bournemouth
Callum Wilson,2018-2019,Hamstring Injury,2019-01-03,2019-01-18,15 days,2.0,Bournemouth
Callum Wilson,2018-2019,Hamstring Injury,2018-12-06,2018-12-14,8 days,1.0,Bournemouth
Callum Wilson,2016-2017,Cruciate Ligament Rupture,2017-02-02,2017-10-20,260 days,25.0,Bournemouth
Joshua King,2020-2021,Quarantine,2020-11-20,2020-12-04,14 days,5.0,Bournemouth
Joshua King,2019-2020,Hamstring Injury,2020-07-10,2020-07-14,4 days,1.0,Bournemouth
Joshua King,2019-2020,Ankle Injury,2020-06-21,2020-06-30,9 days,1.0,Bournemouth
Joshua King,2019-2020,Hamstring Injury,2020-03-07,2020-03-26,19 days,1.0,Bournemouth
Joshua King,2019-2020,Muscle fiber tear,2019-12-28,2020-02-08,42 days,8.0,Bournemouth
Joshua King,2019-2020,Ankle Injury,2019-12-15,2019-12-20,5 days,,Bournemouth
Joshua King,2019-2020,Hamstring Injury,2019-11-20,2019-12-13,23 days,4.0,Bournemouth
Joshua King,2018-2019,Ill,2019-01-04,2019-01-12,8 days,1.0,Bournemouth
Joshua King,2018-2019,Ankle Injury,2018-10-18,2018-10-19,1 days,,Bournemouth
Joshua King,2017-2018,Thigh Problems,2017-12-17,2017-12-24,7 days,3.0,Bournemouth
Joshua King,2017-2018,Ill,2017-10-20,2017-10-28,8 days,3.0,Bournemouth
Joshua King,2016-2017,Thigh Problems,2017-10-05,2017-10-14,9 days,1.0,Bournemouth
Lys Mousset,2021-2022,Sprain,2022-03-17,2022-05-02,46 days,7.0,Sheffield Utd
Lys Mousset,2021-2022,Knock,2021-12-02,2022-01-24,53 days,6.0,Sheffield Utd
Lys Mousset,2020-2021,Knock,2021-01-11,2021-01-28,17 days,4.0,Sheffield Utd
Lys Mousset,2020-2021,Ankle Injury,2021-01-07,2021-01-11,4 days,1.0,Sheffield Utd
Lys Mousset,2020-2021,Toe Injury,2020-11-30,2020-12-14,14 days,2.0,Sheffield Utd
Lys Mousset,2020-2021,Toe Injury,2020-09-03,2020-11-23,81 days,10.0,Sheffield Utd
Lys Mousset,2019-2020,Knock,2019-12-09,2019-12-16,7 days,1.0,Sheffield Utd
Lys Mousset,2019-2020,Thigh Muscle Strain,2019-11-25,2019-12-02,7 days,1.0,Bournemouth
Lys Mousset,2018-2019,Ankle Injury,2018-08-30,2018-09-03,4 days,1.0,Bournemouth
Lewis Grabban,2021-2022,Hamstring Injury,2022-04-23,2022-06-11,49 days,8.0,Nott'm Forest
Lewis Grabban,2021-2022,Ankle Injury,2022-02-01,2022-04-01,59 days,10.0,Nott'm Forest
Lewis Grabban,2021-2022,Corona virus,2021-08-01,2021-08-17,16 days,3.0,Nott'm Forest
Lewis Grabban,2020-2021,Hip Injury,2020-10-24,2020-11-24,31 days,6.0,Nott'm Forest
Harry Cornick,2020-2021,Groin Injury,2020-10-21,2020-11-02,12 days,3.0,Luton
Ben Gibson,2019-2020,Groin Injury,2020-01-12,2020-06-15,155 days,8.0,Burnley
Ben Gibson,2019-2020,Groin Injury,2019-12-08,2020-01-10,33 days,6.0,Burnley
Ben Gibson,2018-2019,Inguinal Hernia,2018-08-28,2018-11-25,89 days,11.0,Burnley
Bernardo Espinosa,2018-2019,Knee Injury,2019-04-07,2019-04-19,12 days,1.0,Middlesbrough
Daniel Ayala,2019-2020,Ankle Injury,2020-01-02,2020-09-27,269 days,6.0,Middlesbrough
Daniel Ayala,2020-2021,Groin Strain,2020-10-22,2020-11-22,31 days,6.0,Norwich
Dael Fry,2022-2023,Unknown Injury,2021-10-02,2021-12-02,61 days,10.0,Middlesbrough
George Friend,2020-2021,Calf Injury,2020-02-27,2020-03-27,29 days,2.0,Middlesbrough
George Friend,2019-2020,Thigh Muscle Strain,2019-11-23,2020-02-14,83 days,18.0,Middlesbrough
George Friend,2019-2020,Thigh Muscle Strain,2019-08-18,2019-11-06,80 days,12.0,Middlesbrough
George Friend,2018-2019,Hip Injury,2019-04-07,2019-08-15,130 days,9.0,Middlesbrough
George Friend,2018-2019,Thigh Problems,2019-02-18,2019-03-07,17 days,2.0,Middlesbrough
George Friend,2016-2017,Calf Strain,2017-03-05,2017-04-17,43 days,6.0,Middlesbrough
George Friend,2016-2017,Calf Injury,2017-01-28,2017-03-03,34 days,6.0,Middlesbrough
George Friend,2016-2017,Knee Injury,2016-11-17,2016-12-14,27 days,5.0,Middlesbrough
James Husband,2016-2017,Shoulder Injury,2016-07-09,2017-04-04,269 days,34.0,Middlesbrough
Antonio Barragán,2016-2017,Hamstring Injury,2017-01-31,2017-03-04,32 days,6.0,Middlesbrough
Fábio,2016-2017,Concussion,2017-04-02,2017-04-09,7 days,3.0,Middlesbrough
Marten de Roon,2017-2018,Unknown Injury,2017-08-14,2017-08-18,4 days,,Middlesbrough
Adam Forshaw,2021-2022,Fractured Kneecap,2022-04-22,2022-06-30,69 days,6.0,Leeds
Adam Forshaw,2019-2020,Hip Injury,2019-09-30,2021-04-12,560 days,71.0,Leeds
Stewart Downing,2020-2021,Fitness,2020-11-02,2020-11-10,8 days,2.0,Aston Villa
Gastón Ramírez,2017-2018,Distortion of the ankle,2018-02-25,2018-03-05,8 days,1.0,Middlesbrough
Gastón Ramírez,2016-2017,Knee Injury,2017-01-07,2017-02-11,35 days,7.0,Southampton
Viktor Fischer,2016-2017,Knee Injury,2016-12-17,2017-01-21,35 days,7.0,Middlesbrough
Adama Traoré,2022-2023,Hamstring Injury,2022-07-20,2022-08-13,24 days,2.0,Wolves
Adama Traoré,2020-2021,Hamstring Injury,2021-01-09,2021-01-14,5 days,1.0,Wolves
Adama Traoré,2020-2021,Knock,2020-09-02,2020-09-04,2 days,,Middlesbrough
Adama Traoré,2019-2020,Shoulder Injury,2020-03-02,2020-03-06,4 days,,Wolves
Adama Traoré,2019-2020,Shoulder Injury,2020-02-02,2020-02-13,11 days,,Aston Villa
Adama Traoré,2019-2020,Knock,2020-01-17,2020-01-17,0 days,,Aston Villa
Adama Traoré,2019-2020,Shoulder Injury,2019-12-16,2019-12-20,4 days,,Wolves
Adama Traoré,2019-2020,Knock,2019-11-11,2019-11-22,11 days,,Wolves
Adama Traoré,2018-2019,Hamstring Injury,2018-12-30,2019-01-01,2 days,,Middlesbrough
Adama Traoré,2018-2019,Shoulder Injury,2018-07-27,2018-08-17,21 days,3.0,Wolves
Patrick Bamford,2022-2023,Knock,2022-11-04,2022-11-06,2 days,1.0,Leeds
Patrick Bamford,2021-2022,Foot Injury,2022-03-27,2022-07-01,96 days,8.0,Leeds
Patrick Bamford,2021-2022,Hamstring Injury,2021-12-07,2022-02-28,83 days,12.0,Leeds
Patrick Bamford,2021-2022,Ankle Injury,2021-09-18,2021-11-28,71 days,10.0,Leeds
Patrick Bamford,2018-2019,Knee Problems,2018-12-22,2019-01-31,40 days,8.0,Leeds
Patrick Bamford,2018-2019,Cruciate Ligament Injury,2018-09-07,2018-12-07,91 days,14.0,Leeds
Boaz Myhill,2016-2017,Ankle Injury,2016-11-15,2016-12-25,40 days,6.0,West Brom
Jonny Evans,2022-2023,Calf Injury,2022-12-10,,114 days,18.0,Leicester
Jonny Evans,2021-2022,Hamstring Injury,2021-12-12,2022-03-31,109 days,19.0,Leicester
