name,player_id
Ed Turns,483
Eddie Beach,484
Eddie Nketiah,485
Eden Hazard,486
Ederson Santana de Moraes,487
Edimilson Fernandes,488
Edinson Cavani,489
Edo Kayembe,490
Edouard Mendy,491
Edson Álvarez Velázquez,492
Eldin Jakupovic,493
Elia Caprile,494
Elias Kachunga,495
Elijah Adebayo,496
Elijah Campbell,497
Ellery Balcombe,498
Elliot Anderson,499
Elliot Thorpe,500
Ellis Simms,501
Emerson Aparecido Leite de Souza Junior,502
Emerson Hyndman,503
Emerson Leite de Souza Junior,504
Emerson Palmieri dos Santos,505
Emil Krafth,506
Emile Smith Rowe,507
Emiliano Buendía,508
Emiliano Marcondes,509
Emiliano Martínez,510
Emmanuel Dennis,511
Enda Stevens,512
Enes Ünal,513
Enock Agyei,514
Enock Mwepu,515
Enso González,516
Enzo Fernández,517
Eric Bailly,518
Eric Dier,519
Eric García,520
Erik Durm,521
Erik Lamela,522
Erik Pieters,523
Erling Haaland,524
Ethan Ampadu,525
Ethan Brierley,526
Ethan Horvath,527
Ethan Nwaneri,528
Ethan Pinnock,529
Ethan Wady,530
Ethan Wheatley,531
Euan Pollock,532
Evan Ferguson,533
Ezequiel Schelotto,534
Ezgjan Alioski,535
Ezri Konsa Ngoyo,536
Fabian Delph,537
Fabian Mrozek,538
Fabian Schär,539
Fabio Henrique Tavares,540
Fabián Balbuena,541
Fabricio Agosto Ramírez,542
Facundo Buonanotte,543
Facundo Pellistri,544
Faustino Anjorin,545
Federico Fernández,546
Felipe Anderson Pereira Gomes,547
Felipe Augusto de Almeida Monteiro,548
Felix Nmecha,549
Femi Seriki,550
Fernando Llorente,551
Fernando Luiz Rosa,552
Fernando Marçal,553
Ferran Torres,554
Fikayo Tomori,555
Filip Benkovic,556
Filip Krovinovic,557
Filip Marschall,558
Fin Stevens,559
Finley Munroe,560
Finley Stevens,561
Fletcher Holman,562
Florent Hadergjonaj,563
Florian Lejeune,564
Florin Andone,565
Floyd Ayité,566
Flynn Downes,567
Fodé Ballo-Touré,568
Folarin Balogun,569
Fousseni Diabaté,570
Francisco Casilla Cortés,571
Francisco Femenía Far,572
Francisco Jorge Tomás Oliveira,573
Francisco Machado Mota de Castro Trincão,574
Francisco Sierralta,575
Franco Umeh-Chibueze,576
Frank Onyeka,577
Frankie Maguire,578
Fraser Forster,579
Fred Onyedinma,580
Freddie Woodman,581
Frederico Rodrigues de Paula Santos,582
Frederik Alves,583
Frédéric Guilbert,584
Fábio Carvalho,585
Fábio Ferreira Vieira,586
Fábio Freitas Gouveia Carvalho,587
Fábio Silva,588
Gabriel Fernando de Jesus,589
Gabriel Magalhães,590
Gabriel Martinelli,591
Gabriel Osho,592
Gabriel Słonina,593
Gabriel Teodoro Martinelli Silva,594
Gabriel dos Santos Magalhães,595
Gaetano Berardi,596
Garang Kuol,597
Gareth Bale,598
Gary Cahill,599
Gary Madine,600
Gavin Bazunu,601
Gavin Kilkenny,602
Gaëtan Bong,603
Gedson Carvalho Fernandes,604
George Abbott,605
George Baldock,606
George Earthy,607
George Hirst,608
George Marsh,609
George Shelvey,610
George Wickens,611
Georges-Kevin N'Koudou,612
Georginio Rutter,613
Georginio Wijnaldum,614
Gerard Deulofeu,615
Gianluca Scamacca,616
Giovani Lo Celso,617
Giovanni McGregor,618
Giovanni Reyna,619
Giulian Biancone,620
Glen Rea,621
Glenn Murray,622
Gonzalo Higuaín,623
Gonzalo Montiel,624
Gonçalo Bento Soares Cardoso,625
Gonçalo Manuel Ganchinho Guedes,626
Grady Diangana,627
Granit Xhaka,628
Grant Hanley,629
Greg Cunninghamm,630
Greg Halford,631
Guglielmo Vicario,632
Guido Carrillo,633
Gustavo Hamer,634
Gustavo Henrique Furtado Scarpa,635
Gylfi Sigurdsson,636
Habeeb Ogunneye,637
Hakim Ziyech,638
Hal Robson-Kanu,639
Halil Dervişoğlu,640
Hamed Traorè,641
Hamza Choudhury,642
Han-Noah Massengo,643
Hannes Delcroix,644
Hannibal Mejbri,645
Harrison Ashby,646
Harrison Reed,647
Harry Amass,648
Harry Arter,649
Harry Boyes,650
Harry Kane,651
Harry Lewis,652
Harry Maguire,653
Harry Souttar,654
Harry Toffolo,655
Harry Tyrer,656
Harry Wilson,657
Harry Winks,658
Harvey Barnes,659
Harvey Davies,660
Harvey Elliott,661
Harvey Griffiths,662
Harvey Vale,663
Harvey White,664
Hassane Kamara,665
Havard Nordtveit,666
Haydon Roberts,667
Hee-Chan Hwang,668
Henri Lansbury,669
Henrikh Mkhitaryan,670
Heung-min Son,671
Heurelho Gomes,672
Heurelho da Silva Gomes,673
Hjalmar Ekdal,674
Hugo Bueno,675
Hugo Bueno López,676
Hugo Lloris,677
Hwang Hee-chan,678
Hwang Ui-jo,679
Hákon Valdimarsson,680
Héctor Bellerín,681
Héctor Junior Firpo Adames,682
Hélder Costa,683
Hélder Wander Sousa de Azevedo e Costa,684
Ian Carlo Poveda-Ocampo,685
Ian Maatsen,686
Ibrahim Amadou,687
Ibrahim Sangaré,688
Ibrahima Cissé,689
Ibrahima Diallo,690
Ibrahima Konaté,691
Idrissa Gueye,692
Ignacio Pussetto,693
Igor Julio dos Santos de Paulo,694
Iliman Ndiaye,695
Ilkay Gündogan,696
Illan Meslier,697
Illia Zabarnyi,698
Imari Samuels,699
Imrân Louza,700
Indiana Vassilev,701
Ionuț Radu,702
Isaac Hayden,703
Isaac Mbenza,704
Isaac Price,705
Isaac Success,706
Ishé Samuels-Smith,707
Islam Slimani,708
Ismaila Coulibaly,709
Ismaïla Sarr,710
Issa Diop,711
Issa Kaboré,712
Ivan Cavaleiro,713
Ivan Neves Abreu Cavaleiro,714
Ivan Perišić,715
Ivan Ricardo Neves Abreu Cavaleiro,716
Ivan Toney,717
Ivo Grbic,718
Jack Butland,719
Jack Colback,720
Jack Cork,721
Jack Grealish,722
Jack Grieves,723
Jack Harrison,724
Jack Hinshelwood,725
Jack Jenkins,726
Jack O'Connell,727
Jack Robinson,728
Jack Rodwell,729
Jack Simpson,730
Jack Stacey,731
Jack Stephens,732
Jack Walton,733
Jack Wells-Morrison,734
Jack Wilshere,735
Jack Young,736
Jackson Smith,737
Jacob Brown,738
Jacob Bruun Larsen,739
Jacob Maddox,740
Jacob Murphy,741
Jacob Ramsey,742
Jacob Sørensen,743
Jacob Wright,744
Jadan Raymond,745
Jaden Philogene-Bidace,746
Jadon Sancho,747
Jaidon Anthony,748
Jairo Riedewald,749
Jake Cain,750
Jake Eastwood,751
Jake Livermore,752
Jake O'Brien,753
Jake Vokins,754
Jakub Kiwior,755
Jakub Moder,756
Jakub Ojrzynski,757
Jamaal Lascelles,758
Jamal Baptiste,759
Jamal Lewis,760
Jamal Lowe,761
James Bree,762
James Chester,763
James Daly,764
James Furlong,765
James Garner,766
James Hill,767
James Justin,768
James Maddison,769
James McArthur,770
James McAtee,771
James McCarthy,772
James McConnell,773
James Milner,774
James Morris,775
James Rodríguez,776
James Shea,777
James Storer,778
James Sweet,779
James Tarkowski,780
James Tomkins,781
James Trafford,782
James Ward-Prowse,783
James Wright,784
Jamie Bowden,785
Jamie Donley,786
Jamie McDonnell,787
Jamie Shackleton,788
Jamie Sterry,789
Jamie Vardy,790
Jan Bednarek,791
Jan Paul van Hecke,792
Jan Vertonghen,793
Jan Zamburek,794
Jannik Vestergaard,795
Japhet Tanganga,796
Jarell Quansah,797
Jaroslaw Jach,798
Jarosław Jach,799
Jarrad Branthwaite,800
Jarrod Bowen,801
Jason Puncheon,802
Jason Steele,803
Javier Hernández Balcázar,804
Javier Manquillo,805
Jay Rodríguez,806
Jay Stansfield,807
Jay-Roy Grot,808
Jayden Bogle,809
Jayden Danns,810
Jayden Luker,811
Jayson Molumby,812
Jean Michaël Seri,813
Jean-Philippe Gbamin,814
Jean-Philippe Mateta,815
Jean-Ricner Bellegarde,816
