season_x,team,kickoff_time,rolling_avg_influence,rolling_avg_ict_index
2016-17,burnley,2017-04-08 14:00:00+00:00,8.625641025641027,1.8846153846153846
2016-17,burnley,2017-04-15 14:00:00+00:00,9.641025641025642,2.0128205128205128
2016-17,burnley,2017-04-23 13:15:00+00:00,9.476923076923077,2.158974358974359
2016-17,burnley,2017-04-29 16:30:00+00:00,12.702564102564102,2.5871794871794873
2016-17,burnley,2017-05-06 14:00:00+00:00,12.256410256410257,2.4128205128205127
2016-17,burnley,2017-05-13 14:00:00+00:00,12.856410256410255,2.3358974358974356
2016-17,burnley,2017-05-21 14:00:00+00:00,9.574358974358974,1.882051282051282
2016-17,chelsea,2016-08-15 19:00:00+00:00,9.707692307692309,2.9538461538461536
2016-17,chelsea,2016-08-20 14:00:00+00:00,9.05,2.3535714285714286
2016-17,chelsea,2016-08-27 14:00:00+00:00,9.838095238095239,2.730952380952381
2016-17,chelsea,2016-09-11 15:00:00+00:00,9.684444444444443,2.871111111111111
2016-17,chelsea,2016-09-16 19:00:00+00:00,11.648888888888889,3.4166666666666665
2016-17,chelsea,2016-09-24 16:30:00+00:00,10.702222222222222,3.033333333333333
2016-17,chelsea,2016-10-01 14:00:00+00:00,12.013333333333332,3.3200000000000003
2016-17,chelsea,2016-10-15 11:30:00+00:00,11.162500000000001,2.9458333333333333
2016-17,chelsea,2016-10-23 15:00:00+00:00,13.1375,3.1958333333333333
2016-17,chelsea,2016-10-30 16:00:00+00:00,12.254166666666666,2.527083333333333
2016-17,chelsea,2016-11-05 17:30:00+00:00,12.604166666666666,2.7666666666666666
2016-17,chelsea,2016-11-20 16:00:00+00:00,10.783333333333333,2.489583333333333
2016-17,chelsea,2016-11-26 17:30:00+00:00,10.4,2.35
2016-17,chelsea,2016-12-03 12:30:00+00:00,9.5375,1.9083333333333332
2016-17,chelsea,2016-12-11 12:00:00+00:00,9.845833333333333,1.9000000000000001
2016-17,chelsea,2016-12-14 19:45:00+00:00,9.316666666666666,2.189583333333333
2016-17,chelsea,2016-12-17 12:30:00+00:00,9.020833333333334,2.2854166666666664
2016-17,chelsea,2016-12-26 15:00:00+00:00,7.45,1.95625
2016-17,chelsea,2016-12-31 15:00:00+00:00,9.070833333333333,2.058333333333333
2016-17,chelsea,2017-01-04 20:00:00+00:00,7.75,1.875
